word,pos_tag,spoken_frequency_zipf,log_phonotactic_probability,lexical_competition_risk,phonetic_instability,cluster_label
purposes,NOUN,4.51,-5.46214303180616,0.0,3,1
quote,NOUN,4.51,-6.7865204299165365,9.83,1,3
recording,VERB,4.51,-4.9177968027623775,5.28,1,0
semi,NOUN,4.51,-6.25357764312091,0.0,0,3
statements,NOUN,4.51,-4.693877910052107,4.97,2,1
suspect,NOUN,4.51,-5.3155774688020845,0.0,2,1
swear,NOUN,4.51,-6.117962447120661,14.54,0,3
techniques,NOUN,4.51,-5.905874179273799,4.47,1,0
tie,NOUN,4.51,-6.76655958231536,67.23000000000002,0,4
tim,NOUN,4.51,-4.960303461765253,45.260000000000005,0,0
trend,NOUN,4.51,-5.076746250862997,14.52,1,0
valuable,ADJ,4.51,-5.481588974497706,0.0,2,1
wealth,NOUN,4.51,-6.6251963072291264,11.47,1,3
wise,NOUN,4.51,-6.370116366021522,50.790000000000006,1,4
yards,NOUN,4.51,-5.844352293275512,9.33,1,0
aged,VERB,4.5,-6.015802322660462,10.07,1,0
approval,NOUN,4.5,-5.305938332479401,0.0,2,1
aspects,NOUN,4.5,-5.55855030390762,0.0,1,0
attempts,NOUN,4.5,-5.559222496070878,4.85,2,1
bread,NOUN,4.5,-5.919259241018754,24.98,1,0
burning,NOUN,4.5,-5.174246584709131,9.63,0,0
champions,NOUN,4.5,-5.106882462737548,4.62,2,1
contain,NOUN,4.5,-4.609731573315725,4.68,1,0
convention,NOUN,4.5,-4.611775956125093,0.0,2,1
dancing,VERB,4.5,-4.957076517851721,0.0,0,0
document,NOUN,4.5,-5.676858207718341,0.0,2,1
eggs,NOUN,4.5,-6.873112335538598,9.13,1,3
employee,NOUN,4.5,-6.296892483444666,4.81,1,3
en,NOUN,4.5,-4.982012852433578,73.44,0,4
